Feature,SHAP Importance
Persistent EPS in the Last Four Seasons,0.6482206
Borrowing dependency,0.608757
ROA(C) before interest and depreciation before interest,0.4521381
Retained Earnings to Total Assets,0.29097995
Debt ratio %,0.28386444
Operating profit per person,0.2194636
Continuous Net Profit Growth Rate,0.21754122
Total income/Total expense,0.21149874
Interest Expense Ratio,0.20629057
Non-industry income and expenditure/revenue,0.2040958
Operating Gross Margin,0.17632794
Total Asset Growth Rate,0.15718704
Total expense/Assets,0.155979
Cash/Total Assets,0.15280005
Working capitcal Turnover Rate,0.14783157
Net Value Per Share (B),0.14235824
Cash flow rate,0.13898802
Current Liabilities/Equity,0.13605206
Total Asset Turnover,0.13290079
Current Liabilities/Liability,0.13182382
Cash Flow to Equity,0.12949897
Equity to Long-term Liability,0.12911843
Long-term fund suitability ratio (A),0.12827238
After-tax Net Profit Growth Rate,0.12517084
Cash Flow Per Share,0.12156873
Current Ratio,0.1122389
Current Liability to Assets,0.11135441
Inventory/Working Capital,0.0972284
Total Asset Return Growth Rate Ratio,0.09481871
Equity to Liability,0.08770175
Operating Profit Growth Rate,0.08708093
Cash Turnover Rate,0.07957836
Quick Assets/Total Assets,0.07728002
Research and development expense rate,0.074778534
Degree of Financial Leverage (DFL),0.07456653
Fixed Assets to Assets,0.07339479
Interest Coverage Ratio (Interest expense to EBIT),0.07161164
Realized Sales Gross Profit Growth Rate,0.07115482
CFO to Assets,0.068172514
Operating Profit Rate,0.066578105
No-credit Interval,0.06587501
Fixed Assets Turnover Frequency,0.056494854
Inventory Turnover Rate (times),0.055033777
Operating Profit Per Share (Yuan ¥),0.053411502
Net Income to Stockholder's Equity,0.051378876
Tax rate (A),0.048681613
Current Assets/Total Assets,0.04470139
Cash Flow to Total Assets,0.044227798
Contingent liabilities/Net worth,0.038226727
Net Worth Turnover Rate (times),0.03579531
Cash Reinvestment %,0.034576736
Inventory and accounts receivable/Net value,0.033750966
Working Capital to Total Assets,0.027887957
Quick Asset Turnover Rate,0.027261443
Operating Funds to Liability,0.023129512
Operating Expense Rate,0.02140062
Cash Flow to Liability,0.02082619
Working Capital/Equity,0.019683283
Current Asset Turnover Rate,0.015966123
Current Liability to Current Assets,0.010039243
Revenue Per Share (Yuan ¥),0.0046658297
Inventory/Current Liability,0.0013391556
Revenue per person,0.0009327383
Interest-bearing debt interest rate,0.0
Quick Ratio,0.0
Net Value Growth Rate,0.0
Average Collection Days,0.0
Total debt/Total net worth,0.0
Allocation rate per person,0.0
Accounts Receivable Turnover,0.0
Quick Assets/Current Liability,0.0
Cash/Current Liability,0.0
Long-term Liability to Current Assets,0.0
Total assets to GNP price,0.0
Liability-Assets Flag,0.0
Net Income Flag,0.0
